@relation pac-man

@attribute width NUMERIC
@attribute height NUMERIC
@attribute pacmanPosition NUMERIC
@attribute legalPacmanActions NUMERIC
@attribute direction NUMERIC
@attribute numAgents NUMERIC
@attribute livingGhosts NUMERIC
@attribute ghostPositions NUMERIC
@attribute ghostDirections NUMERIC
@attribute ghostDistances NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute action NUMERIC
@attribute score NUMERIC

@data
22,18,1010,40312,1,4,10000,4311314151812,3112,1312910,0,0,1,1124
22,18,1011,40312,1,4,10000,4311314141812,3122,141179,0,0,2,1123
22,18,1012,4032,1,4,10000,3311215141812,4232,16978,0,0,3,1122
22,18,1112,4032,3,4,10000,2311114141813,4241,181158,0,0,3,1121
22,18,1212,40312,3,4,10000,2411114141913,1243,181248,0,0,2,1120
22,18,1213,012,1,4,10000,2511114141913,1243,181337,0,0,0,1119
22,18,1214,402,1,4,10000,2411014151913,2213,201538,0,0,0,1118
22,18,1114,403,4,4,10000,341915151913,3233,181559,0,0,3,1117
22,18,1014,403,4,4,10000,3311015142013,2123,1813511,0,0,3,1116
22,18,914,032,4,4,10000,331914141913,2244,1713511,0,0,3,1115
22,18,1014,403,3,4,10000,232915142013,4333,1913511,0,0,4,1114
22,18,914,032,4,4,10000,333914142012,3342,1711513,0,0,3,1113
22,18,1014,403,3,4,10000,334914142011,3342,1811413,0,0,3,1112
22,18,1114,403,3,4,10000,343915142011,1432,1813412,0,0,4,1111
22,18,1214,402,3,4,10000,342914142010,1442,1915212,0,0,2,1110
22,18,1213,012,2,4,10000,341915142011,1431,1815410,0,0,1,1109
22,18,1213,012,2,4,10000,3411015152010,1112,1814511,0,0,2,1108
22,18,1212,40312,2,4,10000,2411015162010,4112,1813710,0,0,3,1107
22,18,1213,012,1,4,10000,241111616209,4132,1913712,0,0,1,1106
22,18,1213,012,1,4,10000,141121616209,4132,2012712,0,0,0,1105
22,18,1214,402,1,4,10000,241111716209,3232,2014713,0,0,2,1104
22,18,1213,012,2,4,10000,1411116162010,4241,2013711,0,0,0,1103
22,18,1214,402,1,4,10000,131121616209,2142,2213613,0,0,0,1102
22,18,1213,012,2,4,10000,1311316162010,2141,2111711,0,0,0,1101
22,18,1214,402,1,4,10000,1321315162011,2341,2211511,0,0,2,1100
22,18,1214,402,1,4,10000,1431315152011,1321,2110411,0,0,0,1099
22,18,1114,403,4,4,10000,2431215162010,3212,1910613,0,0,4,1098
22,18,1214,402,3,4,10000,2531216162011,1231,1911611,0,0,0,1097
22,18,1114,403,4,4,10000,2631216162011,1231,1710712,0,0,3,1096
22,18,1214,402,3,4,10000,2531115162011,2241,1912511,0,0,0,1095
22,18,1214,402,3,4,10000,3531216162010,3132,1811612,0,0,4,1094
22,18,1213,012,2,4,10000,3531216162010,3132,1710711,0,0,0,1093
22,18,1213,012,2,4,10000,3431317162011,2131,189810,0,0,0,1092
22,18,1214,402,1,4,10000,2431317162012,4131,2010710,0,0,2,1091
22,18,1114,403,4,4,10000,1431217162011,4232,2010812,0,0,4,1090
22,18,1214,402,3,4,10000,1431116162010,4242,2112612,0,0,0,1089
22,18,1214,402,3,4,10000,2431216162010,3142,2011612,0,0,0,1088
22,18,1114,403,4,4,10000,3431317162010,3132,189813,0,0,4,1087
22,18,1214,402,3,4,10000,2421316162010,4442,2011612,0,0,0,1086
22,18,1214,402,3,4,10000,1411316162011,4441,2112611,0,0,0,1085
22,18,1214,402,3,4,10000,2411417162010,3132,2011712,0,0,0,1084
22,18,1214,402,3,4,10000,3411418162010,3132,1911812,0,0,0,1083
22,18,1114,403,4,4,10000,3311417162010,2142,1910813,0,0,3,1082
22,18,1014,403,4,4,10000,2311416162011,4141,199813,0,0,3,1081
22,18,1114,403,3,4,10000,3311315162010,3242,1911613,0,0,0,1080
22,18,1214,402,3,4,10000,431141516209,3142,1911513,0,0,4,1079
22,18,1114,403,4,4,10000,531141416209,3142,1710514,0,0,3,1078
22,18,1214,402,3,4,10000,431131516209,4232,1912513,0,0,0,1077
22,18,1214,402,3,4,10000,531121515208,3222,1813414,0,0,0,1076
22,18,1213,012,2,4,10000,531131514208,3122,1711413,0,0,2,1075
22,18,1213,012,2,4,10000,432131514207,4322,1810414,0,0,0,1074
22,18,1212,40312,2,4,10000,333131614206,4332,1810614,0,0,2,1073
22,18,1112,4032,4,4,10000,233141714207,4131,1810814,0,0,4,1072
22,18,1111,40312,2,4,10000,134141714207,4331,1810913,0,0,1,1071
22,18,1110,40312,2,4,10000,133141814207,4431,17121112,0,0,2,1070
22,18,1210,4012,3,4,10000,143131714207,1241,1712911,0,0,4,1069
22,18,129,40312,2,4,10000,243141814197,3134,1514119,0,0,1,1068
